"index","countryName","population","yearlychange","netchange","density","landarea","migrants","medage","urbanpop","worldshare"
"1","China","1439323776","0.39 %","5,540,090","153","9,388,211","-348.399","38","61%","18.47 %"
"2","India","1380004385","0.99 %","13,586,631","464","2,973,190","-532.687","28","35%","17.70 %"
"3","United States","331002651","0.59 %","1,937,734","36","9,147,420","954.806","38","83%","4.25 %"
"4","Indonesia","273523615","1.07 %","2,898,047","151","1,811,570","-98.955","30","56%","3.51 %"
"5","Pakistan","220892340","2.00 %","4,327,022","287","770.88","-233.379","23","35%","2.83 %"
"6","Brazil","212559417","0.72 %","1,509,890","25","8,358,140","21.2","33","88%","2.73 %"
"7","Nigeria","206139589","2.58 %","5,175,990","226","910.77","-60","18","52%","2.64 %"
"8","Bangladesh","164689383","1.01 %","1,643,222","1.265","130.17","-369.501","28","39%","2.11 %"
"9","Russia","145934462","0.04 %","62.206","9","16,376,870","182.456","40","74%","1.87 %"
"10","Mexico","128932753","1.06 %","1,357,224","66","1,943,950","-60","29","84%","1.65 %"
"11","Japan","126476461","-0.30 %","-383.84","347","364.555","71.56","48","92%","1.62 %"
"12","Ethiopia","114963588","2.57 %","2,884,858","115","1,000,000","30","19","21%","1.47 %"
"13","Philippines","109581078","1.35 %","1,464,463","368","298.17","-67.152","26","47%","1.41 %"
"14","Egypt","102334404","1.94 %","1,946,331","103","995.45","-38.033","25","43%","1.31 %"
"15","Vietnam","97338579","0.91 %","876.473","314","310.07","-80","32","38%","1.25 %"
"16","DR Congo","89561403","3.19 %","2,770,836","40","2,267,050","23.861","17","46%","1.15 %"
"17","Turkey","84339067","1.09 %","909.452","110","769.63","283.922","32","76%","1.08 %"
"18","Iran","83992949","1.30 %","1,079,043","52","1,628,550","-55","32","76%","1.08 %"
"19","Germany","83783942","0.32 %","266.897","240","348.56","543.822","46","76%","1.07 %"
"20","Thailand","69799978","0.25 %","174.396","137","510.89","19.444","40","51%","0.90 %"
"21","United Kingdom","67886011","0.53 %","355.839","281","241.93","260.65","40","83%","0.87 %"
"22","France","65273511","0.22 %","143.783","119","547.557","36.527","42","82%","0.84 %"
"23","Italy","60461826","-0.15 %","-88.249","206","294.14","148.943","47","69%","0.78 %"
